GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EUN-common,org.youngmonkeys.eun.common.entity,RoomPlayer,180,0,24,0,11,0,24,0,12,0
EUN-common,org.youngmonkeys.eun.common.entity,CustomHashtable,166,0,14,0,41,0,23,0,16,0
EUN-common,org.youngmonkeys.eun.common.entity,RoomGameObject,251,0,34,0,9,0,33,0,16,0
EUN-common,org.youngmonkeys.eun.common.entity,RoomOption,281,0,42,0,8,0,40,0,19,0
EUN-common,org.youngmonkeys.eun.common.service,CustomRandom,33,0,2,0,5,0,5,0,4,0
